Date,Open,High,Low,Close,Volume,Adj Close
2016-12-29,5732.399902,5746.700195,5709.00,5746.700195,433186100,5746.700195
2016-12-28,5675.100098,5739.299805,5675.100098,5732.399902,480062600,5732.399902
2016-12-23,5691.799805,5697.100098,5667.299805,5675.100098,491671300,5675.100098
2016-12-22,5662.00,5691.899902,5652.700195,5691.799805,602862200,5691.799805
2016-12-21,5640.00,5676.00,5640.00,5662.00,734675900,5662.00
2016-12-20,5612.799805,5655.00,5608.399902,5640.00,807754200,5640.00
2016-12-19,5589.700195,5628.799805,5587.299805,5612.799805,754196800,5612.799805
2016-12-16,5595.00,5606.00,5568.899902,5589.700195,1519075700,5589.700195
2016-12-15,5639.700195,5639.700195,5575.700195,5595.00,1018780000,5595.00
2016-12-14,5600.700195,5650.50,5600.700195,5639.700195,934095500,5639.700195
2016-12-13,5619.100098,5629.600098,5599.600098,5600.700195,851314200,5600.700195
2016-12-12,5615.799805,5639.899902,5609.899902,5619.100098,832568600,5619.100098
2016-12-09,5599.00,5620.600098,5595.600098,5615.799805,771998400,5615.799805
2016-12-08,5535.399902,5605.50,5535.399902,5599.00,780947800,5599.00
2016-12-07,5486.600098,5535.399902,5486.600098,5535.399902,870806200,5535.399902
2016-12-06,5458.00,5507.50,5458.00,5486.600098,832166500,5486.600098
2016-12-05,5502.600098,5502.600098,5443.50,5458.00,755073400,5458.00
2016-12-02,5560.399902,5560.399902,5502.600098,5502.600098,889641100,5502.600098
2016-12-01,5502.399902,5560.399902,5502.399902,5560.399902,1141787700,5560.399902
2016-11-30,5520.50,5520.50,5485.600098,5502.399902,1222486100,5502.399902
2016-11-29,5532.600098,5549.399902,5520.50,5520.50,855079100,5520.50
2016-11-28,5570.50,5570.50,5532.600098,5532.600098,617935600,5532.600098
2016-11-25,5549.00,5583.50,5544.100098,5570.50,914872200,5570.50
2016-11-24,5549.899902,5568.299805,5537.200195,5549.00,788950300,5549.00
2016-11-23,5480.600098,5553.899902,5480.600098,5549.899902,791041200,5549.899902
2016-11-22,5419.299805,5491.399902,5419.299805,5480.600098,784593900,5480.600098
2016-11-21,5427.50,5430.799805,5404.299805,5419.299805,665138800,5419.299805
2016-11-18,5408.899902,5435.299805,5408.899902,5427.50,815696400,5427.50
2016-11-17,5399.600098,5415.00,5358.600098,5408.899902,920151900,5408.899902
2016-11-16,5399.799805,5419.200195,5392.299805,5399.600098,874564500,5399.600098
2016-11-15,5420.299805,5420.299805,5379.600098,5399.799805,872490200,5399.799805
2016-11-14,5446.600098,5446.600098,5391.799805,5420.299805,871352600,5420.299805
2016-11-11,5408.899902,5446.600098,5408.899902,5446.600098,1069780700,5446.600098
2016-11-10,5238.299805,5408.899902,5238.299805,5408.899902,1077906400,5408.899902
2016-11-09,5342.200195,5394.299805,5138.899902,5238.299805,1261264300,5238.299805
2016-11-08,5330.899902,5364.600098,5330.00,5342.200195,784539000,5342.200195
2016-11-07,5263.100098,5331.600098,5263.100098,5330.899902,672512000,5330.899902
2016-11-04,5306.600098,5306.600098,5260.899902,5263.100098,763762900,5263.100098
2016-11-03,5311.00,5320.899902,5283.299805,5306.600098,793579000,5306.600098
2016-11-02,5375.200195,5375.200195,5291.200195,5311.00,842873200,5311.00
2016-11-01,5402.399902,5402.399902,5357.899902,5375.200195,566486900,5375.200195
2016-10-31,5370.899902,5412.700195,5364.399902,5402.399902,705189300,5402.399902
2016-10-28,5378.399902,5394.899902,5347.299805,5370.899902,803733900,5370.899902
2016-10-27,5442.100098,5455.299805,5378.399902,5378.399902,831355100,5378.399902
2016-10-26,5523.299805,5523.299805,5424.799805,5442.100098,876065800,5442.100098
2016-10-25,5489.100098,5534.899902,5488.50,5523.299805,678037400,5523.299805
2016-10-24,5513.899902,5514.00,5461.700195,5489.100098,678081300,5489.100098
2016-10-21,5526.200195,5530.399902,5496.399902,5513.899902,708369700,5513.899902
2016-10-20,5518.399902,5540.200195,5517.100098,5526.200195,756514900,5526.200195
2016-10-19,5492.00,5521.100098,5492.00,5518.399902,726803400,5518.399902
2016-10-18,5470.899902,5498.700195,5468.700195,5492.00,724246800,5492.00
2016-10-17,5518.50,5523.299805,5470.899902,5470.899902,722392400,5470.899902
