Date,Open,High,Low,Close
10/12/16,10546.01,10587.46,10525.56,10560.27
10/11/16,10656.22,10656.22,10510.61,10548.00
10/10/16,10671.22,10711.82,10671.22,10682.67
10/07/16,10680.47,10689.42,10579.63,10626.92
10/06/16,10664.54,10684.90,10627.70,10675.74
10/05/16,10666.41,10703.92,10664.15,10683.94
10/04/16,10705.86,10712.58,10597.04,10629.15
10/03/16,10721.85,10721.85,10658.56,10690.77
09/30/16,10679.07,10758.01,10668.34,10721.74
09/29/16,10742.08,10764.27,10614.03,10643.52
09/28/16,10665.58,10757.78,10623.22,10753.44
09/27/16,10600.15,10676.85,10587.93,10665.34
09/26/16,10675.25,10678.12,10621.06,10624.88
09/23/16,10793.66,10793.66,10712.88,10717.99
09/22/16,10769.38,10818.11,10769.38,10793.66
09/21/16,10605.10,10716.58,10584.34,10708.37
09/20/16,10608.56,10620.36,10558.35,10560.26
09/19/16,10533.42,10625.69,10533.42,10564.30
09/16/16,10554.10,10554.10,10498.35,10532.27
09/15/16,10501.32,10625.81,10491.09,10602.94
09/14/16,10533.70,10596.45,10487.80,10511.40
09/13/16,10644.48,10644.47,10502.32,10535.36
09/12/16,10563.73,10760.59,10553.65,10741.24
09/09/16,10799.13,10799.13,10613.53,10613.53
09/08/16,10879.97,10903.86,10857.23,10882.33
09/07/16,10886.51,10898.76,10856.76,10890.18
09/06/16,10879.64,10891.22,10838.95,10890.79
09/02/16,10830.55,10867.85,10827.19,10856.92
09/01/16,10762.45,10780.71,10704.00,10771.93
08/31/16,10780.22,10785.65,10714.09,10764.75
08/30/16,10817.34,10825.72,10772.13,10797.54
08/29/16,10753.45,10825.03,10753.45,10811.34
08/26/16,10808.40,10869.47,10710.06,10749.32
08/25/16,10780.73,10813.98,10770.29,10784.37
08/24/16,10845.17,10848.90,10774.97,10791.18
08/23/16,10857.94,10879.28,10847.01,10847.49
08/22/16,10798.10,10824.56,10775.18,10815.92
08/19/16,10822.51,10834.51,10783.28,10829.15
08/18/16,10823.79,10863.02,10820.84,10863.01
08/17/16,10803.68,10828.94,10754.65,10824.64
08/16/16,10843.41,10843.58,10809.68,10809.74
08/15/16,10838.34,10892.15,10838.34,10858.50
08/12/16,10827.87,10843.50,10798.97,10822.41
08/11/16,10775.06,10848.19,10775.06,10836.15
08/10/16,10812.32,10821.21,10761.07,10774.98
08/09/16,10797.38,10828.51,10786.45,10804.51
08/08/16,10789.85,10806.30,10778.17,10788.01
08/05/16,10731.82,10782.87,10729.67,10782.87
08/04/16,10697.23,10726.30,10679.64,10707.13
08/03/16,10660.91,10695.14,10624.64,10695.14
08/02/16,10729.10,10730.88,10619.39,10661.13
08/01/16,10768.75,10780.60,10713.72,10730.20
07/29/16,10734.07,10797.99,10717.38,10785.51
07/28/16,10727.87,10758.03,10692.83,10744.16
07/27/16,10782.32,10785.23,10696.81,10739.77
07/26/16,10754.94,10788.93,10727.34,10772.99
07/25/16,10787.57,10787.57,10725.14,10752.43
07/22/16,10764.27,10807.22,10750.66,10805.04
07/21/16,10784.68,10811.74,10735.08,10758.62
07/20/16,10758.60,10805.01,10746.59,10793.10
07/19/16,10754.54,10763.98,10733.09,10758.53
07/18/16,10773.11,10797.99,10747.28,10793.17
07/15/16,10808.89,10811.53,10744.22,10773.12
07/14/16,10806.22,10815.43,10769.59,10786.63
07/13/16,10743.20,10751.24,10692.45,10734.20
07/12/16,10685.57,10748.01,10685.57,10726.78
07/11/16,10606.03,10650.86,10600.16,10627.20
07/08/16,10414.81,10582.45,10414.81,10571.78
07/07/16,10461.14,10495.27,10373.47,10413.97
07/06/16,10356.22,10445.17,10308.22,10441.58
07/05/16,10452.48,10455.93,10378.53,10409.54
07/01/16,10495.08,10535.78,10490.79,10515.76
06/30/16,10374.57,10489.76,10336.52,10489.75
